cause,sex,frmat,IM_Frmat,deaths1,deaths2,deaths3,deaths4,deaths5,deaths6,deaths7,deaths8,deaths9,deaths10,deaths11,deaths12,deaths13,deaths14,deaths15,deaths16,deaths17,deaths18,deaths19,deaths20,deaths21,deaths22,deaths23,deaths24,deaths25,deaths26,IM_deaths1,IM_deaths2,IM_deaths3,IM_deaths4
C721,1,00,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
C722,2,00,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C723,2,00,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
C724,1,00,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C724,2,00,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
C728,1,00,01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
C728,2,00,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C729,1,00,01,16,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,1,3,2,2,0,1,1,0,0,0,0,0,0
C729,2,00,01,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,6,1,0,2,0,0,0,0,0,0,0,0
C73,1,00,01,91,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,5,13,11,12,12,13,7,4,0,0,0,0,0,0
C73,2,00,01,221,0,0,0,0,0,0,0,0,0,0,1,0,1,6,6,12,19,25,33,27,42,38,10,1,0,0,0,0,0
C740,1,00,01,7,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0
C740,2,00,01,10,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,3,0,1,2,0,0,0,0,0,0,0,0
C741,1,00,01,5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
C741,2,00,01,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
C749,1,00,01,28,0,1,0,0,0,2,0,1,0,0,1,2,1,0,0,4,4,2,6,2,2,0,0,0,0,0,0,0,0
C749,2,00,01,14,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,2,2,1,0,2,0,0,0,0,0,0,0
C751,1,00,01,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0
C751,2,00,01,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0
C752,1,00,01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
